"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.61239609105887,2.02564324654295,0.216575336711481,0.356080572458569,1.16439941409293,2.09343525054838,3.52034234093643,6.42679176630847,7.89079228098246
"2",3,10,2.61746156828889,1.99405122881262,0.231793744797766,0.362979870471151,1.13561254528373,2.13820818646531,3.59104472502053,6.46221980270087,7.54809349866693
"3",4,11,2.64971647284543,2.07038681424648,0.283352050242329,0.4073217705624,1.16940685173549,2.12555497189667,3.57505445478005,6.6198223616232,7.8743218402996
"4",5,12,2.56671445376042,1.97709677646978,0.207607798676482,0.335688604858446,1.11069523943261,2.0743913608857,3.51932618076187,6.45180437454007,7.73414013959413
"5",6,13,2.6536417002052,2.08652658805508,0.27012556233719,0.398514809208722,1.14675596518907,2.10990575914256,3.56226033791226,6.89439930599567,8.01634671353472
"6",7,14,2.58063413138101,1.95798540608923,0.236499469510196,0.379533536368258,1.16892603937214,2.14302843207211,3.45821410163364,6.29068304084553,7.3602202376158
"7",8,15,2.51525442140302,1.93292790581922,0.245561587853956,0.372386032594654,1.09390375886598,2.04767941106557,3.37524917981874,6.17059909672933,7.54701104717677
"8",9,16,2.59346802223468,2.01383141941799,0.26424747327198,0.403539079278712,1.09488821711704,2.10195488180104,3.54564370015318,6.52655762206377,7.59961039527009
"9",10,17,2.60531473593398,2.06657332788343,0.246033965192842,0.360548429653201,1.12025023043385,2.10065439614404,3.56360150717685,6.51157542339755,7.73451627109864
"10",11,18,2.57092662115028,1.99471519922959,0.242582269533457,0.370436735776672,1.07800767793864,2.06623562462793,3.54103224734225,6.42457254354144,7.66216788481605
"11",12,19,2.56345590327107,1.93490361123192,0.231578551193225,0.369407195032363,1.13346219114887,2.1416935657479,3.46093912455266,6.35382435192111,7.41136236722865
"12",13,20,2.61547256065043,2.07171127740236,0.242697938030969,0.361821044822359,1.13109174827937,2.06927879165626,3.47375176087108,6.64954127979344,8.23248085394967
"13",14,21,2.62173156017006,2.04516925979382,0.254138696349457,0.379515180528695,1.13274679249305,2.10362776509733,3.54668251067291,6.60133030270104,8.00746662513864
"14",15,22,2.62968032962479,2.02105532254309,0.230993336406389,0.389617677186037,1.19735926472935,2.13435588869863,3.46879092804552,6.48972613869998,7.80033907766784
"15",16,23,2.61315076746676,2.07120026031205,0.229506504560767,0.353514083843102,1.11354511453314,2.07140174970579,3.55736716087558,6.66145023954156,7.89233228921932
"16",17,24,2.63211223731598,2.06439111887244,0.223588952103433,0.364006130162959,1.14016360163716,2.0970143983649,3.63006588695834,6.56975781620152,8.09126249554746
"17",18,25,2.58618845946357,1.99420961275136,0.228163268063315,0.34792966628628,1.10739656443064,2.09244480949174,3.53963613957962,6.49285063100412,7.60166245206226
