"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.58754297216451,1.99612130098206,0.211774856442753,0.345801482900335,1.14222006118643,2.09553564609182,3.53235644519081,6.58310816032978,7.8154279119863
"2",3,10,2.54072913062141,1.97540205210505,0.218026515589314,0.38013750779469,1.10723914713664,2.07673115259712,3.4628987910858,6.42739610938598,7.56596572350058
"3",4,11,2.55603334555284,1.95929689826954,0.222664487648654,0.357091073505695,1.14559151438369,2.07514904497115,3.45614961978989,6.44178967678194,7.3884856098291
"4",5,12,2.56680894731204,1.95010021502899,0.213388743645422,0.332791037777488,1.11007607250319,2.12172737972559,3.53638904451809,6.40656810451515,7.48023011531219
"5",6,13,2.60146977089468,1.99617797178174,0.244876249384148,0.380222902074614,1.1777064175437,2.10042340347782,3.46652008372833,6.44210037723756,7.78052374712599
"6",7,14,2.58822360199462,2.00369474132775,0.254826832422631,0.397199242770199,1.13961286688866,2.06375784246303,3.50822765616206,6.53700644268515,7.72985601796382
"7",8,15,2.58364180536396,1.99276309074847,0.255883892732506,0.37238093689479,1.10745201091308,2.06944916776857,3.51779276489643,6.64450167467199,7.62592648714293
"8",9,16,2.57352728360395,2.00051464897885,0.220228362757404,0.357009905643397,1.14985369670527,2.06818357421918,3.49331089919747,6.37012376422281,7.78409968724618
"9",10,17,2.55724916839067,1.9410331810182,0.243804328651636,0.391276775355578,1.12629477179234,2.07414613074173,3.42261953278512,6.45154367641376,7.48240168266336
"10",11,18,2.61076344328071,2.02408172787203,0.236140691856502,0.363973303782264,1.16232965250284,2.13905706088109,3.51150641698529,6.36377299255109,7.48655593225082
"11",12,19,2.61225472219791,2.0400336942634,0.241743847969934,0.374235743049427,1.14050337393502,2.09262630966095,3.52107094756708,6.65324427875163,7.78941445622916
"12",13,20,2.63064409038603,1.99236304956065,0.261065015056153,0.401780082883488,1.17059798367228,2.16443499471049,3.51648293581075,6.65276163292963,7.7386957575446
"13",14,21,2.64778507120436,2.04011404114845,0.229578182432735,0.349057378182383,1.14753388990002,2.15849407491913,3.62283139454756,6.61083125719137,7.73403011042531
"14",15,22,2.64659253361438,2.00162967060088,0.243545558952859,0.395625887648974,1.18093313148499,2.20434062588187,3.60790351975421,6.31105329171549,7.67155702110008
